train/approx_kl,train/policy_gradient_loss,time/fps,train/entropy_loss,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates,time/iterations,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.016423926,-0.014894769105012529,1417,-0.8893156107515097,0.9041199684143066,0.023186159669421613,11955.61,0.12841796875,0.2,0.00025,1392640,9.98,-0.026043495163321495,2716,680,982,,
0.022465896,-0.017515757121145725,,-0.8668881766498089,0.8556323051452637,0.028080544609110802,,0.1534423828125,0.2,0.00025,1400000,,-0.03802366182208061,2732,,,13.6,11422.4
0.020401761,-0.019354748888872564,1408,-0.8549694083631039,0.8552603721618652,0.019659685640363023,11995.35,0.14111328125,0.2,0.00025,1413120,10.03,-0.03887362778186798,2756,690,1003,,
0.015819633,-0.019550130295101553,1415,-0.9085090551525354,0.8293402194976807,0.032430163177195936,11875.24,0.121826171875,0.2,0.00025,1433600,10.42,-0.03396406024694443,2796,700,1012,,
0.014945826,-0.015691192442318425,,-0.9125347565859556,0.857322633266449,0.027820155664812773,,0.1175537109375,0.2,0.00025,1440000,,-0.04160618036985397,2812,,,12.2,12731.4
0.013110923,-0.019015568133909255,1402,-0.8657027631998062,0.8784200549125671,0.020892084343358874,11922.97,0.0989990234375,0.2,0.00025,1454080,10.46,-0.03390340507030487,2836,710,1036,,
0.017720465,-0.015008752088760957,1409,-0.8774039931595325,0.8354891538619995,0.03196187398862094,11919.39,0.144287109375,0.2,0.00025,1474560,10.99,-0.020728735253214836,2876,720,1045,,
0.017916761,-0.018022867996478453,,-0.8555469885468483,0.8465664386749268,0.02460228168638423,,0.12890625,0.2,0.00025,1480000,,-0.03484179824590683,2888,,,13.4,12208.2
0.019019654,-0.019906020315829664,1399,-0.8326089344918728,0.7934523820877075,0.03584465885069221,11913.12,0.123779296875,0.2,0.00025,1495040,11.06,-0.027741461992263794,2916,730,1067,,
0.019411232,-0.021986640742397867,1406,-0.8682821672409773,0.789113461971283,0.03477126924553886,12062.98,0.1280517578125,0.2,0.00025,1515520,11.49,-0.027449417859315872,2956,740,1077,,
0.022052344,-0.02077357523376122,,-0.8191102407872677,0.830629825592041,0.025590050499886274,,0.139404296875,0.2,0.00025,1520000,,-0.030184082686901093,2968,,,16.4,10848.6
0.017812029,-0.0207180089346366,1401,-0.9021604657173157,0.8966338038444519,0.020210997230606154,12124.76,0.137939453125,0.2,0.00025,1536000,11.42,-0.0327034592628479,2996,750,1095,,
0.019659255,-0.021049849019618705,1408,-0.8520952928811312,0.8122994899749756,0.034432175336405635,12038.14,0.1514892578125,0.2,0.00025,1556480,12.04,-0.02628643997013569,3036,760,1105,,
0.01641379,-0.019052837014896795,,-0.8947088532149792,0.8873035907745361,0.02414608048275113,,0.128173828125,0.2,0.00025,1560000,,-0.052713438868522644,3044,,,13.8,12962.4
0.01647602,-0.019505484495311975,1395,-0.9037797693163157,0.8404301404953003,0.020144035574048758,12027.42,0.141357421875,0.2,0.00025,1576960,12.24,-0.04177049547433853,3076,770,1130,,
0.0172657,-0.02090964418312069,1401,-0.9358615353703499,0.9235650300979614,0.015019640850368887,11904.01,0.13037109375,0.2,0.00025,1597440,12.46,-0.03553660213947296,3116,780,1139,,
0.017128196,-0.02177229823428206,,-0.9089861307293177,0.9303857684135437,0.014822131983237341,,0.1370849609375,0.2,0.00025,1600000,,-0.04097984358668327,3124,,,16.0,11891.6
0.016009843,-0.02247369577526115,1390,-0.9159610960632563,0.8772835731506348,0.020442901324713603,11912.06,0.13232421875,0.2,0.00025,1617920,12.64,-0.04218184947967529,3156,790,1163,,
0.018100884,-0.0211722859821748,1397,-0.9013249203562737,0.8684294819831848,0.02822043577907607,11773.07,0.1451416015625,0.2,0.00025,1638400,13.26,-0.04120241105556488,3196,800,1172,,
0.018604755,-0.021963732317090034,,-0.8989586401730776,0.9061424732208252,0.016970022465102375,,0.1507568359375,0.2,0.00025,1640000,,-0.0425337478518486,3200,,,17.6,9713.0
0.023384362,-0.024402835144428536,1392,-0.8975379299372435,0.7806624174118042,0.028219597530551255,11481.54,0.1680908203125,0.2,0.00025,1658880,14.19,-0.03559652343392372,3236,810,1190,,
0.01645671,-0.01986514790041838,1399,-0.9530276786535978,0.8879731297492981,0.02269093261566013,11488.84,0.1328125,0.2,0.00025,1679360,14.23,-0.039001576602458954,3276,820,1200,,
0.017196964,-0.022483952663606033,,-0.9498222712427378,0.8665040135383606,0.021929686336079612,,0.1478271484375,0.2,0.00025,1680000,,-0.040419742465019226,3280,,,16.4,10477.6
0.016462272,-0.021195840614382178,1391,-0.9117968510836363,0.7961657643318176,0.03572209842968732,11461.14,0.1319580078125,0.2,0.00025,1699840,14.28,-0.039990365505218506,3316,830,1221,,
0.01680415,-0.02270870833308436,,-0.9084977358579636,0.8791942596435547,0.023440001823473722,,0.131591796875,0.2,0.00025,1720000,,-0.046484269201755524,3356,,,19.8,8638.6
,,1386,,,,11387.9,,,,1720320,14.3,,,840,1240,,
0.021616163,-0.02617672475753352,1392,-0.980543714016676,0.8128541707992554,0.03657409141305834,11431.65,0.1597900390625,0.2,0.00025,1740800,14.17,-0.04230286180973053,3396,850,1249,,
0.017641012,-0.025260756199713796,,-0.9318544566631317,0.8261836171150208,0.028121485316660255,,0.13623046875,0.2,0.00025,1760000,,-0.031319811940193176,3436,,,13.0,15091.4
,,1384,,,,11277.81,,,,1761280,14.42,,,860,1272,,
0.01975592,-0.021525026095332578,1389,-0.825929569080472,0.7885122299194336,0.03129910182906315,11352.7,0.1343994140625,0.2,0.00025,1781760,14.22,-0.04203168302774429,3476,870,1282,,
0.021500785,-0.02228281387942843,,-0.9491302967071533,0.7571635842323303,0.04182313696946949,,0.1524658203125,0.2,0.00025,1800000,,-0.03795558959245682,3512,,,14.0,13898.8
0.01682857,-0.022648276237305254,1378,-0.9749753884971142,0.8116169571876526,0.03710557287558913,11368.34,0.1356201171875,0.2,0.00025,1802240,14.23,-0.035245880484580994,3516,880,1307,,
0.022421438,-0.026114882828551345,1383,-0.9409670792520046,0.703194260597229,0.03905523131834343,11326.41,0.1514892578125,0.2,0.00025,1822720,14.38,-0.043028656393289566,3556,890,1317,,
0.016761618,-0.025454764952883124,,-0.9671794511377811,0.8745150566101074,0.023440274700988084,,0.1328125,0.2,0.00025,1840000,,-0.05786003917455673,3592,,,15.8,11381.0
0.01589291,-0.026159678876865655,1375,-0.9391757287085056,0.8654496073722839,0.02729286963585764,11590.12,0.1258544921875,0.2,0.00025,1843200,13.98,-0.04809238761663437,3596,900,1339,,
0.0195265,-0.023841825692215934,1381,-0.8932613469660282,0.8412395119667053,0.03068291809177026,11461.09,0.1290283203125,0.2,0.00025,1863680,14.15,-0.03705071657896042,3636,910,1349,,
0.020547118,-0.020819065714022145,,-0.8572879172861576,0.8403721451759338,0.030207725008949637,,0.149169921875,0.2,0.00025,1880000,,-0.044225890189409256,3668,,,15.8,12735.2
0.021717547,-0.025017849839059636,1377,-0.9054845422506332,0.8777648210525513,0.020860536489635706,11621.23,0.166259765625,0.2,0.00025,1884160,13.86,-0.04719053953886032,3676,920,1367,,
0.028383221,-0.024115815773257054,1383,-0.9340170975774527,0.856715202331543,0.030739118112251163,11575.93,0.1995849609375,0.2,0.00025,1904640,13.94,-0.03583326190710068,3716,930,1376,,
0.016965456,-0.022566497093066573,,-0.9606653898954391,0.8362555503845215,0.033516970986966044,,0.1119384765625,0.2,0.00025,1920000,,-0.0478353351354599,3748,,,16.8,11634.2
